Star Wars: Knights of the Old Republic,4.2,3.3799999999999994,1.08,0,0.19999999999999998,4.659999999999999
Super Mario World,4.2,15.989999999999998,4.86,4.49,0.75,26.07
Devil May Cry 3: Dante's Awakening,4.2,1.98,1.26,0.58,0.38,4.18
Half-Life 2,4.2,2.65,0.22999999999999998,0.08,0.03,2.98
Donkey Kong Country 2: Diddy's Kong Quest,4.2,4.2,1.48,4.4,0.22,10.3
Ys VIII: Lacrimosa of Dana,4.2,0,0,0.09,0,0.09
Demon's Souls,4.1,0.97,0.34,0.35,0.18,1.84
Live A Live,4.1,0,0,0.96,0,0.96
Klonoa: Door to Phantomile,4.1,0,0,0.34,0.02,0.36
Silent Hill,4.1,1.42,0.96,0.6,0.2,3.2
Odin Sphere: Leifthrasir,4.1,0.08,0.06,0.15000000000000002,0.04,0.32999999999999996
Shin Megami Tensei IV,4.1,0.28,0,0.27,0.02,0.57
The Legend of Zelda: A Link to the Past,4.1,8.34,2.86,2.96,0.45999999999999996,14.620000000000001
Super Mario 64,4.1,35.97,17.88,9.48,3.63,66.93
Super Mario World 2: Yoshi's Island,4.1,3.4,1.06,2.38,0.18,7.03
Phoenix Wright: Ace Attorney,4.1,1.47,0.21000000000000002,1.17,0.15000000000000002,2.9699999999999998
Mega Man X,4.1,1.14,0.16,1,0.02,2.32
The Legend of Zelda: Twilight Princess,4.1,9.96,5.1000000000000005,1.28,1.48,17.8
Pikmin 2,4.1,0.48,0.13,0.56,0.03,1.2
Fire Emblem: Thracia 776,4.1,0,0,0.52,0,0.52
Grand Theft Auto: San Andreas,4.1,10.77,1.9600000000000002,0.41,10.72,23.86
Bayonetta 2,4.1,0.34,0.28,0.1,0.3,1.01
The Legend of Zelda: Majora's Mask 3D,4.1,1.14,0.54,0.47,0.17,2.32
Persona 5,4.1,0,0,1.3200000000000003,0,1.3200000000000003
Shin Megami Tensei: Digital Devil Saga,4.1,0.06,0.05,0,0.02,0.13
Tetris,4.1,52.339999999999996,5.899999999999999,12.06,1.3800000000000001,71.68
Kid Icarus: Uprising,4.1,0.48,0.35,0.36,0.07,1.28
Shadow of the Colossus,4.1,1.56,0.06,0.4,0.26,2.28
Max Payne 2: The Fall of Max Payne,4.1,1.12,0.66,0,0.19,1.98
Uncharted: The Nathan Drake Collection,4.1,1.96,1.69,0.08,0.74,4.47
Metal Gear Rising: Revengeance,4.1,2.22,1.68,1.32,0.6600000000000001,5.91
The Legend of Zelda: A Link Between Worlds,4.1,1.4,0.99,0.46,0.22,3.07
Final Fantasy X/X-2 HD Remaster,4.1,0.29,0.25,0.06,0.11,0.71
Persona 2: Eternal Punishment,4.1,0.03,0.02,0.28,0.02,0.35
Final Fantasy X,4.1,2.91,2.07,2.73,0.33,8.05
Batman: Arkham City,4.1,18.060000000000006,11.039999999999997,0.44999999999999996,3.9899999999999998,33.60000000000001
Uncharted 4: A Thief's End,4.1,2.6,4.14,0.36,1.3,8.4
Terraria,4,0.42,0.7100000000000001,0.18,0.15,1.47
Banjo-Kazooie,4,3.74,2.26,1.1,0.2,7.3
Star Wars: Battlefront II,4,4.47,1.6,0.04,0.5700000000000001,6.67
The Walking Dead: Season One,4,1.29,0.7,0.05,0.28,2.33
Metroid: Zero Mission,4,0.6,0.22,0,0.01,0.84
Vagrant Story,4,0.6,0.4,0.6,0.12,1.74
The Elder Scrolls III: Morrowind,4,2.09,0.63,0.03,0.11,2.86
Rayman Legends,4,0.9600000000000001,1.8499999999999996,0.03,0.49999999999999994,3.36
BioShock,4,2.4099999999999997,1.7400000000000002,0.060000000000000005,0.51,4.69
Bully: Scholarship Edition,4,0.7000000000000001,0.69,0.03,0.16999999999999998,1.59
Yakuza 2,4,0.05,0.04,0.84,0.16,1.09
Pikmin 3,4,0.9,0.62,0.58,0.12,2.22
Skate 3,4,2.25,1.92,0,0.59,4.76
Dragon Age: Origins,4,5.44,2.92,0.22000000000000003,1,9.54
God of War II,4,4.64,0.08,0.08,3.34,8.14
Tetris,4,26.169999999999998,2.9499999999999997,6.029999999999999,0.69,35.84
Psychonauts,4,0.27999999999999997,0.14,0,0.02,0.41999999999999993
Super Mario Bros. 3,4,37.41,14.07,14.01,1.98,67.44000000000001
Sin and Punishment,4,0,0,0.13,0,0.13
Doom,4,3.1800000000000006,2.04,0,0.3,5.519999999999999
Shovel Knight,4,0.26,0.16,0.02,0.04,0.48
Ys: The Oath in Felghana,4,0.09,0,0.04,0.01,0.14
Animal Crossing: New Leaf,4,2.01,2.32,4.36,0.41,9.09
Dead Space,4,3.8800000000000003,3.2,0,0.98,8.06
The Legend of Zelda: Twilight Princess,4,4.98,2.55,0.64,0.74,8.9
Castlevania: Order of Ecclesia,4,0.31,0.03,0.04,0.03,0.41
Metroid Prime 2: Echoes,4,0.87,0.35,0.07,0.04,1.33
ICO,4,0.23,0.18,0,0.06,0.47
Hitman: Blood Money,4,0.65,0.28,0.01,0.09999999999999999,1.04
Crash Team Racing,4,2.57,1.57,0.44,0.21,4.79
Rock Band 2,4,4.14,0.68,0,0.5,5.32
Fire Emblem: Radiant Dawn,4,0.28,0.03,0.17,0.03,0.51
Metroid Fusion,4,1.18,0.27,0.17,0.06,1.68
Super Mario RPG: Legend of the Seven Stars,4,1.32,0,2.9,0.06,4.28
Hotel Dusk: Room 215,4,0.27,0.05,0.22,0.03,0.56
No More Heroes,4,0.6,0.34,0.08,0.1,1.14
Halo: Reach,4,7.03,1.98,0.08,0.78,9.88
Dead Space 2,4,1.7999999999999998,1.0999999999999999,0,0.38999999999999996,3.29
Half-Life,4,4.32,0.23,0.09,0.08,4.72
Ikaruga,4,0.07,0.02,0,0,0.09
Chrono Cross,4,0.62,0.42,0.69,0.12,1.86
Bully,3.9,0.75,0.03,0.04,0.12,0.94
The Wolf Among Us,3.9,0.15000000000000002,0.1,0,0.05,0.31
