2600,1980,Shooter,7.069999999999999
2600,1980,Misc,2.71
2600,1980,Fighting,0.77
2600,1980,Sports,0.49
2600,1980,Action,0.34
2600,1981,Action,14.84
2600,1981,Shooter,10.040000000000001
2600,1981,Platform,6.93
2600,1981,Puzzle,2.2399999999999998
2600,1981,Sports,0.7899999999999999
2600,1981,Racing,0.48
2600,1981,Simulation,0.45
2600,1982,Puzzle,10.03
2600,1982,Action,6.52
2600,1982,Platform,5.03
2600,1982,Shooter,3.79
2600,1982,Racing,1.5699999999999998
2600,1982,Sports,1.05
2600,1982,Misc,0.87
2600,1983,Action,2.86
2600,1983,Platform,1.31
2600,1983,Puzzle,0.78
2600,1983,Shooter,0.48
2600,1983,Adventure,0.4
2600,1984,Racing,0.27
2600,1985,Puzzle,0.45
2600,1986,Shooter,0.37
2600,1986,Sports,0.29
2600,1987,Action,1.12
2600,1987,Shooter,0.71
2600,1988,Shooter,0.51
2600,1988,Action,0.24
2600,1989,Action,0.47
2600,1989,Puzzle,0.15
3DS,2011,Racing,14.120000000000001
3DS,2011,Platform,13.280000000000001
3DS,2011,Action,12.09
3DS,2011,Simulation,6.89
3DS,2011,Role-Playing,4.82
3DS,2011,Puzzle,2.9
3DS,2011,Fighting,2.11
3DS,2011,Sports,1.7000000000000004
3DS,2011,Misc,1.3900000000000003
3DS,2011,Shooter,1.02
3DS,2011,Strategy,0.73
3DS,2011,Adventure,0.53
3DS,2012,Role-Playing,11.760000000000005
3DS,2012,Action,10.799999999999999
3DS,2012,Simulation,10.32
3DS,2012,Platform,10.24
3DS,2012,Sports,2.42
3DS,2012,Misc,2.3000000000000003
3DS,2012,Puzzle,0.9
3DS,2012,Adventure,0.84
3DS,2012,Racing,0.29
3DS,2012,Fighting,0.2
3DS,2013,Role-Playing,26.500000000000007
3DS,2013,Action,11.430000000000001
3DS,2013,Simulation,5.15
3DS,2013,Platform,4.73
3DS,2013,Misc,3.0100000000000002
3DS,2013,Adventure,1.61
3DS,2013,Puzzle,0.88
3DS,2013,Sports,0.51
3DS,2013,Strategy,0.47000000000000003
3DS,2013,Fighting,0.08
3DS,2014,Role-Playing,23.960000000000004
3DS,2014,Fighting,7.57
3DS,2014,Platform,3.18
3DS,2014,Action,3.07
3DS,2014,Sports,1.17
3DS,2014,Misc,0.98
3DS,2014,Adventure,0.59
3DS,2014,Simulation,0.55
3DS,2014,Strategy,0.31
3DS,2014,Puzzle,0.11
3DS,2015,Action,12.17
3DS,2015,Role-Playing,6.530000000000001
3DS,2015,Simulation,3.13
3DS,2015,Misc,1.97
3DS,2015,Puzzle,0.5700000000000001
3DS,2015,Platform,0.37
3DS,2015,Fighting,0.33
3DS,2015,Strategy,0.22
3DS,2015,Sports,0.14
3DS,2015,Adventure,0.08
3DS,2016,Action,4.11
3DS,2016,Role-Playing,1.09
3DS,2016,Adventure,0.27
3DS,2016,Platform,0.2
3DS,2016,Simulation,0.19
DC,1998,Platform,2.42
DC,1998,Fighting,0.51
DC,1998,Shooter,0.26
DC,1998,Action,0.08
DC,1999,Sports,2.2
DC,1999,Adventure,1.28
DC,1999,Racing,0.58
DC,1999,Fighting,0.54
DC,1999,Simulation,0.52
DC,2000,Racing,1.94
DC,2000,Sports,1.35
DC,2000,Action,1.14
DC,2000,Fighting,0.5
DC,2000,Role-Playing,0.49
DC,2000,Adventure,0.29000000000000004
DC,2001,Adventure,0.48
DC,2001,Role-Playing,0.19
DC,2001,Platform,0.12
DC,2001,Fighting,0.12
DC,2002,Adventure,0.29
DS,2004,Platform,10.42
DS,2004,Puzzle,3.2600000000000002
DS,2004,Racing,1.52
DS,2004,Simulation,0.8099999999999999
DS,2004,Action,0.5
DS,2004,Sports,0.41000000000000003
DS,2004,Misc,0.3
DS,2005,Simulation,40.629999999999995
DS,2005,Misc,28.410000000000004
DS,2005,Racing,24.220000000000002
DS,2005,Puzzle,17.18
DS,2005,Platform,7.1999999999999975
DS,2005,Role-Playing,3.9399999999999995
DS,2005,Action,3.05
DS,2005,Strategy,1.52
DS,2005,Adventure,1.4000000000000001
DS,2005,Fighting,1.36
DS,2005,Sports,0.73
DS,2005,Shooter,0.11
DS,2006,Platform,37.76000000000001
DS,2006,Role-Playing,27.960000000000004
DS,2006,Misc,16.550000000000004
DS,2006,Simulation,10.969999999999997
DS,2006,Action,8.549999999999999
DS,2006,Puzzle,5.05
DS,2006,Adventure,3.6000000000000005
DS,2006,Sports,2.38
DS,2006,Fighting,2.01
DS,2006,Racing,1.33
DS,2006,Shooter,1.32
DS,2006,Strategy,0.41000000000000003
DS,2007,Misc,29.83000000000001
DS,2007,Simulation,28.69000000000001
DS,2007,Action,26.14
DS,2007,Puzzle,21.649999999999995
DS,2007,Role-Playing,14.010000000000002
DS,2007,Adventure,6.660000000000001
DS,2007,Platform,5.079999999999999
DS,2007,Sports,3.99
DS,2007,Racing,3.2299999999999995
DS,2007,Strategy,1.95
DS,2007,Shooter,1.91
DS,2007,Fighting,0.58
DS,2008,Misc,26.289999999999992
DS,2008,Simulation,25.490000000000002
DS,2008,Role-Playing,22.769999999999992
DS,2008,Action,16.09
DS,2008,Adventure,13.749999999999996
DS,2008,Sports,12.58
DS,2008,Puzzle,8.869999999999997
DS,2008,Platform,7.4
DS,2008,Strategy,2.5
DS,2008,Racing,1.4900000000000002
DS,2008,Shooter,1.4100000000000001
DS,2008,Fighting,0.56
DS,2009,Action,32.17000000000001
DS,2009,Role-Playing,18.990000000000002
DS,2009,Puzzle,14.600000000000001
DS,2009,Misc,12.609999999999998
DS,2009,Simulation,12.369999999999994
DS,2009,Adventure,10.369999999999997
DS,2009,Sports,5.9700000000000015
DS,2009,Racing,2.53
DS,2009,Strategy,2.42
DS,2009,Platform,1.7199999999999998
DS,2009,Shooter,1.24
DS,2009,Fighting,1.1199999999999999
DS,2010,Role-Playing,25.769999999999996
DS,2010,Action,14.150000000000002
DS,2010,Misc,10.120000000000001
DS,2010,Puzzle,8.569999999999999
DS,2010,Simulation,6.4300000000000015
DS,2010,Adventure,6.11
DS,2010,Platform,4.419999999999999
DS,2010,Sports,2.6799999999999997
